"agency","site_no","Date","HydrologicEvent","CharacteristicName","SampleFraction","Units","value","month","agency_cd","Discharge","D.Approval.Code","Gage.Height","GH.Approval.Code","Location"
"21NC01WQ","J1330000",1979-11-27,NA,"Temperature, water"," ","deg C",15.5,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1979-12-03,NA,"Temperature, water"," ","deg C",6,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-01-15,NA,"Temperature, water"," ","deg C",12,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-02-04,NA,"Temperature, water"," ","deg C",5,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-03-28,NA,"Temperature, water"," ","deg C",15,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-04-08,NA,"Temperature, water"," ","deg C",16,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-05-13,NA,"Temperature, water"," ","deg C",25,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-06-17,NA,"Temperature, water"," ","deg C",21,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-07-11,NA,"Temperature, water"," ","deg C",26,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-08-26,NA,"Temperature, water"," ","deg C",25,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-09-22,NA,"Temperature, water"," ","deg C",30,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-10-13,NA,"Temperature, water"," ","deg C",16,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-11-19,NA,"Temperature, water"," ","deg C",9,"Nov",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1980-12-10,NA,"Temperature, water"," ","deg C",10,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-01-20,NA,"Temperature, water"," ","deg C",6,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-02-11,NA,"Temperature, water"," ","deg C",12,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-03-16,NA,"Temperature, water"," ","deg C",12,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-04-13,NA,"Temperature, water"," ","deg C",17,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-05-27,NA,"Temperature, water"," ","deg C",21,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-06-22,NA,"Temperature, water"," ","deg C",28,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-07-15,NA,"Temperature, water"," ","deg C",25,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-08-18,NA,"Temperature, water"," ","deg C",22,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-09-14,NA,"Temperature, water"," ","deg C",24,"Sep",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-10-22,NA,"Temperature, water"," ","deg C",18,"Oct",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1981-11-16,NA,"Temperature, water"," ","deg C",14,"Nov",NA,NA,NA,NA,NA,"Downstream"
