"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","0208675010",2009-09-28,11.7,"A"
"USGS","0208675010",2009-09-29,5.35,"A"
"USGS","0208675010",2009-09-30,1.37,"A"
"USGS","0208675010",2009-10-01,0.91,"A"
"USGS","0208675010",2009-10-02,0.7,"A"
"USGS","0208675010",2009-10-03,0.53,"A"
"USGS","0208675010",2009-10-04,0.39,"A"
"USGS","0208675010",2009-10-05,0.45,"A"
"USGS","0208675010",2009-10-06,0.46,"A"
"USGS","0208675010",2009-10-07,0.42,"A"
"USGS","0208675010",2009-10-08,0.35,"A"
"USGS","0208675010",2009-10-09,0.28,"A"
"USGS","0208675010",2009-10-10,0.28,"A"
"USGS","0208675010",2009-10-11,0.34,"A"
"USGS","0208675010",2009-10-12,1.43,"A"
"USGS","0208675010",2009-10-13,1.58,"A"
"USGS","0208675010",2009-10-14,0.63,"A"
"USGS","0208675010",2009-10-15,2,"A"
"USGS","0208675010",2009-10-16,0.66,"A"
"USGS","0208675010",2009-10-17,0.44,"A"
"USGS","0208675010",2009-10-18,0.34,"A"
"USGS","0208675010",2009-10-19,0.26,"A"
"USGS","0208675010",2009-10-20,0.26,"A"
"USGS","0208675010",2009-10-21,0.26,"A"
"USGS","0208675010",2009-10-22,0.26,"A"
"USGS","0208675010",2009-10-23,0.26,"A"
"USGS","0208675010",2009-10-24,5.73,"A"
"USGS","0208675010",2009-10-25,1.7,"A"
"USGS","0208675010",2009-10-26,0.77,"A"
"USGS","0208675010",2009-10-27,1.42,"A"
"USGS","0208675010",2009-10-28,17.4,"A"
"USGS","0208675010",2009-10-29,2.13,"A"
"USGS","0208675010",2009-10-30,1.13,"A"
"USGS","0208675010",2009-10-31,1.49,"A"
"USGS","0208675010",2009-11-01,29.6,"A"
"USGS","0208675010",2009-11-02,4.38,"A"
"USGS","0208675010",2009-11-03,1.8,"A"
"USGS","0208675010",2009-11-04,0.94,"A"
"USGS","0208675010",2009-11-05,0.69,"A"
"USGS","0208675010",2009-11-06,0.55,"A"
"USGS","0208675010",2009-11-07,0.46,"A"
"USGS","0208675010",2009-11-08,0.42,"A"
"USGS","0208675010",2009-11-09,0.34,"A"
"USGS","0208675010",2009-11-10,10.9,"A"
"USGS","0208675010",2009-11-11,208,"A"
"USGS","0208675010",2009-11-12,69.3,"A"
"USGS","0208675010",2009-11-13,26.7,"A"
"USGS","0208675010",2009-11-14,4.06,"A"
"USGS","0208675010",2009-11-15,2.58,"A"
"USGS","0208675010",2009-11-16,1.76,"A"
"USGS","0208675010",2009-11-17,1.28,"A"
"USGS","0208675010",2009-11-18,4.32,"A"
"USGS","0208675010",2009-11-19,6.63,"A"
"USGS","0208675010",2009-11-20,2.91,"A"
"USGS","0208675010",2009-11-21,1.67,"A"
"USGS","0208675010",2009-11-22,1.23,"A"
"USGS","0208675010",2009-11-23,81.9,"A"
"USGS","0208675010",2009-11-24,6.14,"A"
"USGS","0208675010",2009-11-25,3.28,"A"
"USGS","0208675010",2009-11-26,2.29,"A"
"USGS","0208675010",2009-11-27,2.27,"A"
"USGS","0208675010",2009-11-28,1.38,"A"
"USGS","0208675010",2009-11-29,1.07,"A"
"USGS","0208675010",2009-11-30,1.75,"A"
"USGS","0208675010",2009-12-01,1.79,"A"
"USGS","0208675010",2009-12-02,52,"A e"
"USGS","0208675010",2009-12-03,61.3,"A"
"USGS","0208675010",2009-12-04,4.93,"A"
"USGS","0208675010",2009-12-05,13,"A"
"USGS","0208675010",2009-12-06,5.06,"A"
"USGS","0208675010",2009-12-07,3.73,"A"
"USGS","0208675010",2009-12-08,4.71,"A"
"USGS","0208675010",2009-12-09,129,"A"
"USGS","0208675010",2009-12-10,6.92,"A"
"USGS","0208675010",2009-12-11,3.93,"A"
"USGS","0208675010",2009-12-12,3.34,"A"
"USGS","0208675010",2009-12-13,20.9,"A"
"USGS","0208675010",2009-12-14,5.76,"A"
"USGS","0208675010",2009-12-15,4.02,"A"
"USGS","0208675010",2009-12-16,3.35,"A"
"USGS","0208675010",2009-12-17,2.77,"A"
"USGS","0208675010",2009-12-18,2.78,"A"
"USGS","0208675010",2009-12-19,110,"A"
"USGS","0208675010",2009-12-20,10.1,"A"
"USGS","0208675010",2009-12-21,5.6,"A"
"USGS","0208675010",2009-12-22,4.38,"A"
"USGS","0208675010",2009-12-23,3.83,"A"
"USGS","0208675010",2009-12-24,3.55,"A"
"USGS","0208675010",2009-12-25,113,"A"
"USGS","0208675010",2009-12-26,19.6,"A"
"USGS","0208675010",2009-12-27,5.53,"A"
"USGS","0208675010",2009-12-28,4.08,"A"
"USGS","0208675010",2009-12-29,3.62,"A"
"USGS","0208675010",2009-12-30,3.19,"A"
"USGS","0208675010",2009-12-31,4.69,"A"
"USGS","0208675010",2010-01-01,3.66,"A"
"USGS","0208675010",2010-01-02,2.89,"A"
"USGS","0208675010",2010-01-03,2.44,"A"
"USGS","0208675010",2010-01-04,2.13,"A"
"USGS","0208675010",2010-01-05,2.11,"A"
"USGS","0208675010",2010-01-06,2.04,"A"
"USGS","0208675010",2010-01-07,2.04,"A"
"USGS","0208675010",2010-01-08,2.5,"A"
"USGS","0208675010",2010-01-09,2.33,"A"
"USGS","0208675010",2010-01-10,1.98,"A"
"USGS","0208675010",2010-01-11,1.82,"A"
"USGS","0208675010",2010-01-12,1.85,"A"
